date,tmax,tmin,tavg
1980-07-01,81.0,72.0,74.0
1981-07-01,86.0,67.0,77.0
1982-07-01,81.0,67.0,75.0
1983-07-01,85.0,72.0,77.0
1984-07-01,91.0,72.0,76.0
1985-07-01,89.0,71.0,79.0
1986-07-01,85.0,73.0,77.0
1987-07-01,80.0,68.0,73.0
1988-07-01,84.0,67.0,74.0
1989-07-01,90.0,66.0,77.0
1990-07-01,76.0,69.0,72.0
1991-07-01,91.0,63.0,79.0
1992-07-01,95.0,65.0,83.0
1993-07-01,88.0,67.0,79.0
1994-07-01,99.0,72.0,85.0
1995-07-01,76.0,65.0,69.0
1996-07-01,96.0,71.0,84.0
1997-07-01,89.0,72.0,80.0
1998-07-01,82.0,69.0,74.0
1999-07-01,100.0,74.0,87.0
2000-07-01,103.0,70.0,88.0
2001-07-01,90.0,71.0,81.0
2002-07-01,78.0,70.0,73.0
2003-07-01,91.0,67.0,81.0
2004-07-01,72.0,61.0,66.0
2005-07-01,99.0,77.0,89.0
2006-07-01,84.0,71.0,76.0
2007-07-01,91.0,66.0,78.0
2008-07-01,76.0,71.0,72.0
2009-07-01,91.0,80.0,85.0
2010-07-01,82.0,74.0,76.0
2011-07-01,85.0,72.0,78.0
2012-07-01,96.0,74.0,84.0
